Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 CHICAGO(N)                                 99    56     0   767   527  101.793
   2 BOSTON                                     92    64     0   861   669  101.526
   3 CLEVELAND                                  90    65     0   751   647  101.169
   4 TEXAS                                      92    64     0   740   729  101.154
   5 TORONTO                                    86    69     0   737   642  101.053
   6 WASHINGTON                                 91    64     0   734   575  100.959
   7 BALTIMORE                                  85    71     0   720   698  100.868
   8 LOS ANGELES(N)                             90    66     0   706   603  100.636
   9 SEATTLE                                    82    73     0   733   676  100.600
  10 HOUSTON                                    82    74     0   704   666  100.559
  11 DETROIT                                    83    72     0   719   703  100.468
  12 NEW YORK(A)                                79    76     0   647   673  100.269
  13 KANSAS CITY                                79    77     0   653   684  100.240
  14 ST. LOUIS                                  81    74     0   739   680  100.141
  15 SAN FRANCISCO                              82    74     0   678   620  100.096
  16 NEW YORK(N)                                83    73     0   639   599  100.078
  17 CHICAGO(A)                                 74    81     0   652   688  100.029
  18 PITTSBURGH                                 77    78     0   708   714   99.682
  19 LOS ANGELES(A)                             69    87     0   684   717   99.660
  20 MIAMI                                      77    78     0   631   646   99.657
  21 COLORADO                                   73    83     0   827   830   99.457
  22 TAMPA BAY                                  65    90     0   649   681   99.431
  23 OAKLAND                                    67    88     0   630   725   99.391
  24 MILWAUKEE                                  70    86     0   643   706   99.019
  25 PHILADELPHIA                               70    86     0   591   760   98.918
  26 SAN DIEGO                                  66    90     0   659   738   98.810
  27 CINCINNATI                                 65    90     0   677   817   98.769
  28 ARIZONA                                    64    91     0   713   867   98.602
  29 ATLANTA                                    63    92     0   617   760   98.547
  30 MINNESOTA                                  56   100     0   695   864   98.423
