Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Toronto                                    18     9     0   156    96  103.218
   2 Baltimore                                  18    10     0   148   102  102.523
   3 St. Louis                                  18     8     0   101    64  102.127
   4 Oakland                                    15    12     0   134    90  101.396
   5 Boston                                     14    14     0   126   120  101.326
   6 Tampa Bay                                  16    12     0    94   101  101.266
   7 Kansas City                                15    11     0    93    93  101.115
   8 Texas                                      14    13     0   109   102  101.077
   9 Washington                                 15    12     0   114    96  101.052
  10 Houston                                    15    14     0   137   101  101.046
  11 New York(A)                                15    12     0   137   127  100.850
  12 Pittsburgh                                 17     9     0    95    82  100.655
  13 Los Angeles(A)                             14    13     0   101   109  100.644
  14 Chicago(N)                                 14    13     0   101    91  100.098
  15 Los Angeles(N)                             15    15     0   121   109   99.853
  16 Milwaukee                                  14    14     0   101   112   99.604
  17 Cleveland                                  11    15     0    79   112   99.415
  18 Detroit                                    11    13     0   117   120   99.395
  19 Miami                                      12    15     0    91   105   99.266
  20 Minnesota                                  11    17     0   103   121   99.060
  21 Seattle                                    11    16     0    74   102   98.964
  22 Cincinnati                                 13    14     0   120   111   98.872
  23 Chicago(A)                                 10    16     0    80   118   98.831
  24 Colorado                                   12    17     0   140   157   98.629
  25 Arizona                                    14    14     0   115   136   98.624
  26 Atlanta                                    11    16     0   103   122   98.514
  27 San Francisco                              12    14     0   118   108   98.487
  28 New York(N)                                12    15     0    84   102   98.431
  29 San Diego                                  12    15     0   102   131   98.209
  30 Philadelphia                                8    19     0   106   160   97.359
