Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Los Angeles(A)                             96    60     0   757   608   51.753
   2 Baltimore                                  92    62     0   673   560   51.533
   3 Oakland                                    85    70     0   702   552   51.070
   4 Washington                                 91    64     0   658   532   51.011
   5 Detroit                                    85    69     0   730   672   50.817
   6 Seattle                                    83    72     0   611   519   50.773
   7 Kansas City                                84    71     0   618   604   50.645
   8 Los Angeles(N)                             89    67     0   680   595   50.593
   9 St. Louis                                  87    69     0   597   585   50.525
  10 Pittsburgh                                 86    71     0   662   610   50.454
  11 Cleveland                                  82    74     0   654   635   50.450
  12 Toronto                                    78    77     0   685   668   50.363
  13 New York(A)                                79    74     0   592   623   50.341
  14 Tampa Bay                                  75    80     0   593   586   50.191
  15 San Francisco                              84    72     0   636   585   50.105
  16 Milwaukee                                  80    76     0   633   637   49.936
  17 New York(N)                                77    80     0   611   602   49.704
  18 Atlanta                                    76    79     0   554   573   49.599
  19 Houston                                    69    87     0   617   701   49.591
  20 Chicago(A)                                 71    84     0   641   729   49.552
  21 Cincinnati                                 71    84     0   565   591   49.438
  22 Miami                                      74    81     0   620   651   49.428
  23 Boston                                     68    88     0   593   689   49.412
  24 Minnesota                                  66    89     0   680   753   49.303
  25 Philadelphia                               71    85     0   605   664   49.284
  26 San Diego                                  73    81     0   511   549   49.202
  27 Chicago(N)                                 70    87     0   598   686   49.157
  28 Texas                                      62    93     0   617   753   49.007
  29 Colorado                                   65    91     0   735   788   48.564
  30 Arizona                                    62    94     0   594   722   48.233
