Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Atlanta                                    17     9     0    92    76   53.743
   2 Milwaukee                                  20     8     0   114    95   52.685
   3 Washington                                 16    12     0   126   108   52.631
   4 New York(N)                                15    11     0   106   101   52.403
   5 Miami                                      13    14     0   126   105   51.616
   6 Oakland                                    18    10     0   148    89   51.570
   7 Los Angeles(A)                             14    13     0   149   109   50.938
   8 Colorado                                   16    13     0   157   133   50.901
   9 St. Louis                                  15    14     0   105    91   50.883
  10 San Francisco                              17    11     0   120   102   50.782
  11 Detroit                                    14     9     0   104    95   50.750
  12 Philadelphia                               13    13     0   107   122   50.276
  13 Los Angeles(N)                             15    12     0   108   103   50.231
  14 San Diego                                  13    16     0    77   103   50.099
  15 Texas                                      15    13     0   114   135   49.848
  16 New York(A)                                15    11     0   110   121   49.737
  17 Cincinnati                                 12    15     0   102    93   49.593
  18 Seattle                                    11    14     0    97   102   49.472
  19 Kansas City                                14    12     0   105    96   49.403
  20 Boston                                     13    14     0   112   124   49.385
  21 Chicago(A)                                 14    15     0   154   150   49.339
  22 Minnesota                                  12    12     0   131   128   49.303
  23 Baltimore                                  12    12     0   108   114   49.089
  24 Pittsburgh                                 10    16     0    96   104   48.494
  25 Toronto                                    12    15     0   122   128   48.441
  26 Cleveland                                  11    17     0   106   132   48.365
  27 Tampa Bay                                  11    16     0   112   124   47.964
  28 Chicago(N)                                  9    17     0    99   108   47.580
  29 Houston                                     9    19     0    88   142   47.571
  30 Arizona                                     9    22     0   117   179   47.077
