Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Los Angeles(A)                             83    53     0   638   520   51.734
   2 Oakland                                    78    58     0   638   487   51.395
   3 Baltimore                                  79    56     0   586   509   51.326
   4 Washington                                 77    58     0   577   470   50.865
   5 Seattle                                    73    62     0   537   441   50.843
   6 Kansas City                                74    62     0   554   534   50.647
   7 Detroit                                    73    62     0   630   598   50.610
   8 Los Angeles(N)                             77    60     0   562   503   50.521
   9 Cleveland                                  71    64     0   580   554   50.414
  10 New York(A)                                70    64     0   533   559   50.362
  11 Toronto                                    69    67     0   598   600   50.341
  12 St. Louis                                  73    63     0   521   528   50.305
  13 Milwaukee                                  73    63     0   580   565   50.241
  14 San Francisco                              74    63     0   556   496   50.219
  15 Tampa Bay                                  66    71     0   534   519   50.140
  16 Pittsburgh                                 71    65     0   570   558   50.132
  17 Atlanta                                    72    65     0   514   488   50.117
  18 Cincinnati                                 65    71     0   508   504   49.695
  19 Miami                                      66    69     0   544   571   49.587
  20 Chicago(A)                                 62    75     0   576   653   49.482
  21 Boston                                     60    76     0   523   595   49.469
  22 New York(N)                                64    73     0   516   533   49.459
  23 Minnesota                                  59    77     0   594   643   49.365
  24 San Diego                                  64    71     0   442   465   49.339
  25 Houston                                    59    79     0   546   640   49.295
  26 Chicago(N)                                 62    75     0   523   572   49.263
  27 Philadelphia                               62    74     0   533   593   49.224
  28 Texas                                      53    83     0   542   674   48.749
  29 Arizona                                    57    79     0   528   626   48.553
  30 Colorado                                   54    82     0   619   704   48.351
