Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Los Angeles(A)                             87    55     0   676   551   51.719
   2 Oakland                                    80    62     0   660   507   51.312
   3 Baltimore                                  82    59     0   612   532   51.269
   4 Seattle                                    78    64     0   567   463   50.916
   5 Washington                                 80    61     0   604   497   50.813
   6 Kansas City                                79    63     0   569   545   50.784
   7 Detroit                                    77    65     0   669   626   50.670
   8 Los Angeles(N)                             81    62     0   589   523   50.588
   9 St. Louis                                  79    64     0   552   548   50.473
  10 Cleveland                                  75    67     0   601   583   50.444
  11 Toronto                                    73    69     0   628   620   50.439
  12 New York(A)                                73    67     0   553   578   50.364
  13 San Francisco                              78    66     0   597   536   50.211
  14 Pittsburgh                                 75    68     0   603   580   50.167
  15 Tampa Bay                                  69    74     0   550   540   50.158
  16 Milwaukee                                  74    69     0   597   601   49.983
  17 Atlanta                                    74    69     0   528   521   49.956
  18 Miami                                      69    72     0   580   596   49.628
  19 Cincinnati                                 66    76     0   529   543   49.539
  20 New York(N)                                68    75     0   553   561   49.536
  21 Houston                                    63    80     0   569   654   49.506
  22 Boston                                     63    80     0   554   627   49.454
  23 Philadelphia                               66    76     0   562   612   49.383
  24 Chicago(A)                                 63    79     0   588   674   49.374
  25 Minnesota                                  61    82     0   633   691   49.332
  26 Chicago(N)                                 65    79     0   550   602   49.242
  27 San Diego                                  66    76     0   455   494   49.137
  28 Texas                                      54    89     0   557   705   48.644
  29 Colorado                                   59    84     0   663   737   48.536
  30 Arizona                                    59    84     0   546   647   48.486
