Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Toronto                                    90    65     0   853   631  101.559
   2 St. Louis                                  98    58     0   631   504  101.529
   3 Kansas City                                90    65     0   697   626  101.318
   4 New York(A)                                86    69     0   741   651  101.012
   5 Pittsburgh                                 95    63     0   684   585  100.965
   6 Chicago(N)                                 90    65     0   659   599  100.820
   7 Texas                                      84    71     0   709   700  100.722
   8 Houston                                    82    74     0   685   592  100.647
   9 Minnesota                                  80    75     0   676   671  100.560
  10 Los Angeles(N)                             87    68     0   640   579  100.440
  11 Cleveland                                  77    77     0   641   620  100.400
  12 New York(N)                                89    67     0   673   594  100.374
  13 Los Angeles(A)                             81    74     0   619   636  100.368
  14 Tampa Bay                                  75    81     0   610   621  100.216
  15 Baltimore                                  76    79     0   672   660  100.205
  16 Boston                                     75    80     0   720   726  100.148
  17 San Francisco                              81    74     0   677   596  100.034
  18 Chicago(A)                                 73    83     0   605   678   99.997
  19 Seattle                                    74    82     0   632   699   99.976
  20 Detroit                                    72    83     0   664   780   99.784
  21 Washington                                 79    76     0   689   628   99.726
  22 Oakland                                    65    91     0   668   699   99.494
  23 Arizona                                    75    81     0   693   673   99.486
  24 San Diego                                  73    83     0   637   701   99.148
  25 Milwaukee                                  66    90     0   643   721   98.914
  26 Miami                                      69    87     0   592   649   98.749
  27 Cincinnati                                 63    92     0   625   719   98.720
  28 Colorado                                   66    90     0   707   820   98.678
  29 Atlanta                                    62    94     0   557   756   98.017
  30 Philadelphia                               59    95     0   590   775   97.995
