Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 New York(A)                                17     7     0   133    96  101.946
   2 Chicago(A)                                 16    10     0   113    92  101.945
   3 Pittsburgh                                 17     9     0   120   117  101.757
   4 Kansas City                                17    11     0   123   111  101.652
   5 San Francisco                              14    10     0   108    79  101.323
   6 Los Angeles(N)                             14    10     0    92    93  101.139
   7 St. Louis                                  15    12     0   103    87  101.095
   8 New York(N)                                13    12     0    89    83  101.046
   9 Milwaukee                                  13    12     0   112    88  100.856
  10 Los Angeles(A)                             14    10     0   132    84  100.670
  11 Arizona                                    13    11     0   100    79  100.576
  12 Chicago(N)                                 15    12     0    96   100  100.480
  13 San Diego                                  13    11     0    74    83  100.328
  14 Cleveland                                  13    13     0    93    99  100.264
  15 Toronto                                    12    13     0   126   107  100.140
  16 Philadelphia                               13    12     0   111   119  100.079
  17 Minnesota                                  12    13     0   106   109   99.911
  18 Houston                                    12    12     0   104    86   99.809
  19 Washington                                 11    13     0    78    80   99.631
  20 Cincinnati                                 11    14     0    98   122   99.243
  21 Oakland                                    10    14     0    76    88   99.197
  22 Seattle                                    12    15     0   119   133   99.062
  23 Baltimore                                  11    14     0    93    90   99.033
  24 Miami                                      10    15     0    82    83   98.906
  25 Texas                                      10    14     0   106   153   98.856
  26 Boston                                     10    15     0   111   137   98.624
  27 Tampa Bay                                   9    16     0    86   107   98.371
  28 Atlanta                                    10    16     0    72   100   98.087
  29 Detroit                                    11    16     0   131   161   98.004
  30 Colorado                                    9    15     0   112   133   97.852
