Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Oakland                                    67    43     0   545   381   51.951
   2 Los Angeles(A)                             66    44     0   533   446   51.691
   3 Baltimore                                  62    48     0   457   429   51.167
   4 Detroit                                    61    47     0   510   460   51.039
   5 Toronto                                    60    53     0   516   485   50.757
   6 Seattle                                    57    54     0   421   367   50.601
   7 Kansas City                                57    53     0   434   434   50.555
   8 Washington                                 60    49     0   458   377   50.500
   9 Los Angeles(N)                             63    49     0   465   412   50.427
  10 New York(A)                                57    53     0   446   474   50.392
  11 St. Louis                                  59    51     0   409   407   50.335
  12 Cleveland                                  56    55     0   497   480   50.327
  13 Milwaukee                                  61    51     0   487   458   50.252
  14 Tampa Bay                                  54    57     0   439   440   50.232
  15 San Francisco                              60    51     0   435   403   50.105
  16 Pittsburgh                                 59    52     0   468   459   50.097
  17 Chicago(A)                                 54    58     0   493   518   49.959
  18 Cincinnati                                 56    55     0   417   400   49.955
  19 Atlanta                                    58    54     0   421   412   49.762
  20 Minnesota                                  50    60     0   467   499   49.595
  21 Boston                                     49    62     0   427   484   49.563
  22 New York(N)                                53    58     0   428   425   49.494
  23 Miami                                      54    57     0   450   476   49.431
  24 Houston                                    47    65     0   441   528   49.402
  25 San Diego                                  51    60     0   357   378   49.071
  26 Chicago(N)                                 47    63     0   429   468   48.842
  27 Texas                                      43    68     0   442   572   48.808
  28 Philadelphia                               49    63     0   428   504   48.762
  29 Arizona                                    49    63     0   447   525   48.661
  30 Colorado                                   44    67     0   513   579   48.359
