Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 LOS ANGELES(N)                             29    10     0   218   120  103.645
   2 TAMPA BAY                                  26    12     0   196   154  102.656
   3 CLEVELAND                                  23    14     0   160   109  101.955
   4 ATLANTA                                    22    14     0   192   157  101.738
   5 CHICAGO(A)                                 23    15     0   198   156  101.661
   6 SAN DIEGO                                  23    16     0   222   174  101.302
   7 MINNESOTA                                  22    16     0   170   138  101.217
   8 NEW YORK(A)                                20    16     0   176   156  101.000
   9 TORONTO                                    20    16     0   168   150  100.956
  10 OAKLAND                                    22    12     0   164   128  100.864
  11 HOUSTON                                    21    15     0   191   164  100.746
  12 CHICAGO(N)                                 22    15     0   183   165  100.707
  13 PHILADELPHIA                               18    15     0   183   171  100.599
  14 SAN FRANCISCO                              18    20     0   201   205  100.282
  15 DETROIT                                    17    17     0   169   182  100.033
  16 ST. LOUIS                                  14    14     0   126   107   99.919
  17 COLORADO                                   18    19     0   182   217   99.727
  18 MIAMI                                      16    16     0   132   143   99.646
  19 NEW YORK(N)                                17    21     0   174   188   99.017
  20 KANSAS CITY                                14    24     0   148   185   98.988
  21 CINCINNATI                                 16    21     0   146   174   98.951
  22 BALTIMORE                                  16    20     0   170   189   98.903
  23 ARIZONA                                    14    24     0   154   192   98.856
  24 MILWAUKEE                                  17    19     0   144   180   98.810
  25 SEATTLE                                    15    22     0   156   199   98.377
  26 LOS ANGELES(A)                             13    25     0   177   204   98.134
  27 TEXAS                                      13    23     0   131   193   97.907
  28 BOSTON                                     12    26     0   172   238   97.742
  29 WASHINGTON                                 12    23     0   160   177   97.722
  30 PITTSBURGH                                 11    24     0   143   191   97.526
