Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 LOS ANGELES(N)                             98    55     0   832   591  101.868
   2 HOUSTON                                   100    53     0   870   611  101.708
   3 NEW YORK(A)                                99    54     0   896   701  101.397
   4 ATLANTA                                    93    60     0   811   709  101.257
   5 OAKLAND                                    92    61     0   809   656  101.046
   6 ST. LOUIS                                  85    67     0   710   612  100.901
   7 MINNESOTA                                  93    59     0   877   709  100.891
   8 CHICAGO(N)                                 82    70     0   774   659  100.829
   9 WASHINGTON                                 83    68     0   800   687  100.790
  10 TAMPA BAY                                  90    63     0   732   622  100.753
  11 MILWAUKEE                                  82    70     0   710   737  100.719
  12 NEW YORK(N)                                79    73     0   740   703  100.524
  13 CLEVELAND                                  89    63     0   718   603  100.429
  14 ARIZONA                                    78    75     0   764   709  100.408
  15 PHILADELPHIA                               78    72     0   728   731  100.363
  16 CINCINNATI                                 72    81     0   675   668  100.087
  17 BOSTON                                     79    72     0   840   766  100.056
  18 SAN FRANCISCO                              74    78     0   654   721   99.924
  19 SAN DIEGO                                  69    83     0   658   741   99.714
  20 TEXAS                                      74    79     0   757   809   99.698
  21 COLORADO                                   66    87     0   792   910   99.523
  22 PITTSBURGH                                 65    87     0   717   860   99.427
  23 LOS ANGELES(A)                             69    83     0   734   810   99.308
  24 SEATTLE                                    64    88     0   733   861   99.031
  25 CHICAGO(A)                                 66    86     0   659   800   98.898
  26 TORONTO                                    61    91     0   677   773   98.753
  27 MIAMI                                      53    99     0   572   751   98.463
  28 KANSAS CITY                                56    97     0   642   810   98.039
  29 BALTIMORE                                  49   103     0   672   934   97.937
  30 DETROIT                                    45   106     0   557   856   97.214
