Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Oakland                                    76    53     0   619   459   51.607
   2 Los Angeles(A)                             77    52     0   605   506   51.524
   3 Baltimore                                  73    55     0   543   488   51.168
   4 Seattle                                    71    58     0   519   413   51.004
   5 Washington                                 75    54     0   554   446   50.946
   6 Kansas City                                72    57     0   535   500   50.863
   7 Detroit                                    70    59     0   601   571   50.657
   8 Los Angeles(N)                             74    58     0   540   491   50.478
   9 Milwaukee                                  72    58     0   559   526   50.468
  10 St. Louis                                  70    59     0   490   498   50.411
  11 Toronto                                    66    64     0   574   574   50.351
  12 New York(A)                                67    61     0   506   540   50.346
  13 Tampa Bay                                  64    66     0   513   489   50.270
  14 Cleveland                                  66    63     0   554   538   50.257
  15 Pittsburgh                                 67    63     0   553   546   50.045
  16 Atlanta                                    68    63     0   497   476   50.040
  17 San Francisco                              68    62     0   512   482   49.972
  18 Cincinnati                                 63    68     0   495   489   49.747
  19 Miami                                      64    65     0   528   550   49.609
  20 Minnesota                                  58    72     0   570   606   49.527
  21 Chicago(A)                                 59    71     0   548   620   49.481
  22 New York(N)                                61    70     0   498   509   49.456
  23 Boston                                     56    74     0   495   569   49.364
  24 Houston                                    55    76     0   521   608   49.236
  25 San Diego                                  60    69     0   428   442   49.221
  26 Chicago(N)                                 59    72     0   495   540   49.199
  27 Philadelphia                               58    72     0   505   572   49.079
  28 Texas                                      50    79     0   511   650   48.744
  29 Arizona                                    55    76     0   511   608   48.548
  30 Colorado                                   52    77     0   607   680   48.453
