Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Minnesota                                  20     7     0   139   104  103.010
   2 San Francisco                              21     9     0   148   108  102.602
   3 Cleveland                                  17    12     0   146   123  102.214
   4 St. Louis                                  18    11     0   117    94  101.846
   5 Texas                                      19    11     0   158   138  101.758
   6 Washington                                 18     9     0   125   105  101.344
   7 Kansas City                                14    12     0   105   101  100.945
   8 Los Angeles(N)                             16    12     0   115    86  100.822
   9 Los Angeles(A)                             16    13     0   108   104  100.383
  10 Houston                                    16    13     0   116   122  100.372
  11 Chicago(A)                                 15    15     0   115   132  100.281
  12 Atlanta                                    15    13     0   108   112  100.231
  13 Pittsburgh                                 14    14     0   119   103  100.101
  14 San Diego                                  14    15     0   119   121  100.064
  15 Seattle                                    14    14     0   107   108   99.966
  16 Tampa Bay                                  14    15     0   105    93   99.788
  17 Chicago(N)                                 14    14     0   106   120   99.733
  18 Detroit                                    13    16     0   106   117   99.726
  19 Toronto                                    12    17     0   146   128   99.546
  20 Cincinnati                                 11    16     0   102   121   99.501
  21 Arizona                                    13    15     0   137   134   99.393
  22 New York(A)                                13    16     0   119   134   99.052
  23 Oakland                                    11    19     0   112   122   98.871
  24 Milwaukee                                  12    17     0   122   140   98.853
  25 New York(N)                                13    15     0    95   105   98.809
  26 Colorado                                   11    16     0   119   130   98.807
  27 Baltimore                                  13    16     0    95   104   98.662
  28 Boston                                     10    19     0    82   124   98.121
  29 Miami                                      10    19     0    97   128   97.724
  30 Philadelphia                               11    18     0    94   121   97.603
