Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Oakland                                    47    29     0   389   254   52.141
   2 Los Angeles(A)                             41    33     0   350   308   51.070
   3 Milwaukee                                  47    30     0   351   314   51.036
   4 San Francisco                              46    30     0   328   278   50.984
   5 Toronto                                    42    35     0   360   335   50.883
   6 Detroit                                    40    32     0   328   321   50.722
   7 Seattle                                    40    36     0   301   264   50.683
   8 St. Louis                                  41    35     0   281   256   50.589
   9 Baltimore                                  39    35     0   313   304   50.551
  10 New York(A)                                39    35     0   297   327   50.483
  11 Kansas City                                39    36     0   311   297   50.386
  12 Washington                                 38    35     0   294   255   50.297
  13 Los Angeles(N)                             42    35     0   329   289   50.228
  14 Minnesota                                  36    38     0   316   332   49.999
  15 Cincinnati                                 37    37     0   290   286   49.982
  16 Atlanta                                    38    37     0   268   282   49.915
  17 Cleveland                                  37    39     0   336   362   49.854
  18 Pittsburgh                                 37    38     0   304   322   49.848
  19 Boston                                     35    41     0   291   308   49.843
  20 Texas                                      35    40     0   318   366   49.746
  21 Miami                                      37    38     0   326   325   49.528
  22 New York(N)                                35    41     0   294   296   49.423
  23 Chicago(A)                                 35    41     0   333   362   49.407
  24 Houston                                    33    44     0   291   345   49.310
  25 Philadelphia                               34    40     0   293   319   49.176
  26 Colorado                                   34    41     0   377   384   49.168
  27 Chicago(N)                                 31    42     0   280   289   48.992
  28 Tampa Bay                                  31    46     0   284   323   48.943
  29 San Diego                                  32    44     0   225   289   48.465
  30 Arizona                                    32    47     0   318   384   48.428
