Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 LOS ANGELES(N)                             92    45     0   668   479  102.179
   2 HOUSTON                                    84    53     0   765   599  101.631
   3 CLEVELAND                                  81    56     0   685   504  101.401
   4 ARIZONA                                    80    58     0   688   551  101.128
   5 WASHINGTON                                 83    54     0   716   569  101.088
   6 BOSTON                                     77    61     0   654   578  100.903
   7 NEW YORK(A)                                74    63     0   711   572  100.836
   8 MINNESOTA                                  71    66     0   677   680  100.357
   9 CHICAGO(N)                                 75    62     0   692   610  100.346
  10 TEXAS                                      69    68     0   701   662  100.309
  11 COLORADO                                   73    64     0   693   656  100.272
  12 LOS ANGELES(A)                             71    67     0   613   606  100.270
  13 ST. LOUIS                                  70    67     0   652   592  100.228
  14 MILWAUKEE                                  72    66     0   624   605  100.190
  15 BALTIMORE                                  70    68     0   672   698  100.159
  16 TAMPA BAY                                  69    70     0   605   602  100.089
  17 KANSAS CITY                                68    68     0   588   658   99.951
  18 SEATTLE                                    69    69     0   642   665   99.913
  19 TORONTO                                    64    74     0   592   682   99.673
  20 MIAMI                                      67    70     0   636   668   99.527
  21 PITTSBURGH                                 66    72     0   583   637   99.487
  22 DETROIT                                    58    79     0   639   733   99.167
  23 OAKLAND                                    58    79     0   606   725   99.154
  24 SAN DIEGO                                  62    76     0   528   674   99.136
  25 CINCINNATI                                 59    79     0   656   753   99.044
  26 NEW YORK(N)                                59    78     0   633   714   98.987
  27 ATLANTA                                    60    76     0   621   696   98.986
  28 CHICAGO(A)                                 54    82     0   582   692   98.902
  29 SAN FRANCISCO                              54    86     0   547   684   98.389
  30 PHILADELPHIA                               52    85     0   562   687   98.319
