Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Oakland                                    65    39     0   524   354   52.171
   2 Los Angeles(A)                             63    41     0   508   417   51.703
   3 Baltimore                                  58    46     0   440   412   51.056
   4 Detroit                                    57    45     0   476   433   50.914
   5 Toronto                                    56    50     0   482   459   50.779
   6 Washington                                 56    45     0   422   347   50.646
   7 Seattle                                    54    51     0   403   352   50.549
   8 New York(A)                                54    50     0   413   441   50.466
   9 St. Louis                                  56    48     0   385   374   50.429
  10 Los Angeles(N)                             59    47     0   442   388   50.394
  11 Milwaukee                                  59    47     0   464   435   50.383
  12 Kansas City                                53    51     0   416   417   50.354
  13 San Francisco                              58    48     0   417   390   50.180
  14 Cleveland                                  52    53     0   470   464   50.175
  15 Tampa Bay                                  51    54     0   414   418   50.143
  16 Atlanta                                    57    48     0   406   382   50.123
  17 Pittsburgh                                 55    49     0   432   434   50.050
  18 Cincinnati                                 52    52     0   393   385   49.915
  19 Chicago(A)                                 51    55     0   454   471   49.884
  20 Boston                                     48    57     0   408   443   49.748
  21 New York(N)                                50    55     0   405   400   49.590
  22 Miami                                      51    53     0   429   450   49.515
  23 Minnesota                                  47    57     0   428   470   49.498
  24 Houston                                    42    63     0   400   507   49.001
  25 Philadelphia                               46    59     0   407   466   48.863
  26 Texas                                      41    64     0   419   538   48.836
  27 San Diego                                  46    58     0   323   362   48.830
  28 Colorado                                   43    61     0   495   545   48.634
  29 Chicago(N)                                 42    61     0   397   447   48.633
  30 Arizona                                    45    60     0   423   494   48.573
