Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Oakland                                    59    36     0   466   321   52.174
   2 Los Angeles(A)                             57    37     0   478   389   51.690
   3 Detroit                                    53    38     0   437   387   51.228
   4 Seattle                                    51    44     0   378   321   50.798
   5 Baltimore                                  52    42     0   404   379   50.774
   6 Toronto                                    49    47     0   431   412   50.584
   7 St. Louis                                  52    44     0   360   346   50.534
   8 Washington                                 50    42     0   381   320   50.513
   9 Kansas City                                48    46     0   383   379   50.439
  10 Cincinnati                                 51    44     0   377   349   50.383
  11 Los Angeles(N)                             54    43     0   404   354   50.349
  12 Milwaukee                                  53    43     0   423   406   50.296
  13 San Francisco                              53    43     0   377   353   50.261
  14 New York(A)                                47    47     0   375   412   50.202
  15 Atlanta                                    52    43     0   362   350   50.191
  16 Cleveland                                  47    47     0   417   425   50.146
  17 Pittsburgh                                 49    46     0   391   393   50.021
  18 Minnesota                                  44    50     0   402   418   49.790
  19 Chicago(A)                                 45    51     0   411   434   49.779
  20 Tampa Bay                                  44    53     0   377   403   49.666
  21 Boston                                     43    52     0   367   405   49.629
  22 New York(N)                                45    50     0   383   364   49.596
  23 Miami                                      44    50     0   396   415   49.249
  24 Houston                                    40    56     0   368   456   49.222
  25 Chicago(N)                                 40    54     0   366   396   48.947
  26 Philadelphia                               42    53     0   367   414   48.916
  27 Texas                                      38    57     0   391   499   48.916
  28 San Diego                                  41    54     0   279   329   48.694
  29 Colorado                                   40    55     0   455   506   48.642
  30 Arizona                                    40    56     0   376   447   48.460
